ID;Nimi;Osoite;x;y
501;Hanasaari;Hanasaarenranta 1;24.840319;60.16582
503;Keilalahti;Keilalahdentie 2;24.827467;60.171524
505;Westendinasema;Westendintie 1;24.805758;60.168266
507;Golfpolku;Golfpolku 3;24.796136;60.168143
509;Revontulentie;Revontulentie 10;24.802938;60.171551
511;Sateentie;Sateentie 2;24.810688;60.173424
513;Hakalehto;Merituulentie 18;24.79139;60.173567
515;Oravannahkatori;Oravannahkatori 1;24.792559;60.175769
517;Länsituuli;Länsituulenkuja 3;24.802049;60.175358
518;Tuulimäki;Itätuulenkuja 11;24.806051;60.174144
519;Tapionaukio;Tapionaukio 9;24.805825;60.176168
521;Kulttuuriaukio;Kulttuuriaukio 2;24.803942;60.177588
523;Ahertajantie;Ahertajantie 1;24.797984;60.17875
525;Mäntyviita;Mäntyviita 2;24.810974;60.178702
527;Otsolahti;Otsolahdentie 18;24.817423;60.178655
529;Keilaniemi (M);Keilaniementie 4;24.82895;60.175233
531;Keilaranta;Keilaranta 13;24.835132;60.178762
532;Betonimies;Betonimiehenkuja 1;24.831804;60.180027
533;Tekniikantie;Tekniikantie 3;24.824747;60.180806
537;Innopoli;Tekniikantie 14;24.81422;60.185096
538;Hagalundinpuisto;Tekniikantie 15;24.817403;60.18363
539;Aalto-yliopisto (M), Tietot;Tietotie 4;24.820099;60.184987
541;Aalto-yliopisto (M), Korkea;Otaniementie 10;24.826671;60.184312
543;Otaranta;Otaranta 6;24.837133;60.18483
545;Sähkömies;Otakaari 3;24.829985;60.188499
547;Jämeräntaival;Otakaari 18;24.835033;60.188118
549;Maarinranta;Maarinrannantie 4;24.810193;60.187529
551;Tietäjä;Valkjärventie 4;24.807083;60.189143
553;Metsänneidonpolku;Metsänneidonpolku 5;24.806152;60.186731
555;Kalevalantie;Kalevalantie 7;24.804022;60.184765
557;Louhentori;Louhentie 16;24.796959;60.18715
559;Pohjankulma;Louhentie 2;24.794014;60.18288
561;Koivu-Mankkaa;Urpu 6;24.78576;60.182976
563;Mankkaanlaaksontie;Mankkaanlaaksontie 1;24.780478;60.188706
565;Mankkaanaukio;Mankkaantie 3;24.769021;60.194599
571;Tapiolan urheilupuisto;Urheilupuistontie 3;24.784654;60.177749
573;Urheilupuisto (M);Jousenpuistonkatu 4;24.779428;60.17465
575;Tontunmäentie;Tontunmäentie 25;24.769667;60.176107
577;Olarinluoma;Olarinluoma 19;24.760606;60.180848
579;Niittymaa;Niittymaantie 2;24.775913;60.171127
581;Niittykumpu (M);Merituulentie 38;24.763184;60.170758
583;Haukilahdenkatu;Ahventie 2;24.772708;60.166481
585;Haukilahdenaukio;Haukilahdenranta 2;24.775882;60.162396
587;Hauenkallio;Hauenkalliontie 12;24.767831;60.162477
589;Haukilahdenranta;Haukilahdenranta 13;24.769864;60.158048
591;Mellstenintie;Mellstenintie 17;24.773993;60.154941
593;Toppelundintie;Toppelundintie 11;24.782477;60.1591405
595;Westendintie;Westendintie 34;24.791754;60.158194
596;Toppelundinportti;Haukilahdenkatu 2;24.7848628;60.1624471
597;Linnakepolku;Westendintie 99;24.790132;60.1637
601;Nokkala;Nokkalanniemi 2;24.754344;60.147974
603;Matinlahdenranta;Rantamäki 2;24.754196;60.151041
607;Nuottaniementie;Nuottatie 1;24.741546;60.147921
609;Sepetlahdentie;Sepetlahdentie 11;24.741234;60.152343
611;Matinkartanontie;Matinkartanontie 2;24.752489;60.156258
613;Matinkyläntie;Joosepinkuja 1;24.744978;60.155689
615;Tiistiläntie;Tiistiläntie 6;24.737664;60.156755
617;Tiistinkallio;Kalastajantie 29;24.729112;60.153737
619;Etuniementie;Kalastajantie 6;24.724835;60.160645
621;Hauenkalliontie;Hauenkalliontie 22;24.756272;60.161138
623;Nelikkotie;Nelikkotie 14;24.74663;60.161588
625;Suomenlahdentie;Suomenlahdentie 2;24.741294;60.160015
627;Piispansilta;Piispansilta 11;24.738416;60.162403
629;Piispanportti;Piispanportti 4;24.732688;60.165603
631;Friisilänaukio;Friisiläntie 2;24.721367;60.162842
633;Avaruuskatu;Avaruuskatu 1;24.724908;60.168971
635;Kuunkatu;Kuunkatu 3;24.726025;60.172673
637;Ruomelantie;Ruomelantie 19;24.729314;60.174524
639;Itäportti;Ruomelantie 5;24.738122;60.174914
641;Komeetankatu;Komeetankatu 2;24.735969;60.167216
643;Auringonkatu;Auringonkatu 2;24.731472;60.171548
645;Piispankallio;Piispankallio 2;24.743532;60.168441
647;Lystimäki;Lystimäentie 2;24.745666;60.172814
649;Lystimäensilta;Vuosikuja 2;24.752442;60.17471
651;Suurpellonaukio;Suurpellon puistokatu 4;24.744131;60.184596
653;Lukutori;Suurpellon puistokatu 18;24.742571;60.187052
701;Gallen-Kallelan tie;Gallen-Kallelan tie 29;24.840699;60.206142
